,Name,Price,Category,Image,UPC
44,Big Y Brioche Buns,$3.99,Bread and Bakery,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007293.jpg,20084300000
45,Organic Pineapple,$3.99 ea,Produce,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007276.jpg,27120700000
46,Bob Evans Macaroni & Cheese,$3.49,Meat,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007949.jpg,7590000530
47,Giovanni Rana Fresh Cut Pasta,$1.99,Meat,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007942.jpg,87744800475
48,Coconut Panko Cod Fillet,$8.99 lb,Seafood,https://bigycdn.blob.core.windows.net/marketing/promoImages/2008047.jpg,20626200000
49,Our Own Stuffed Haddock Fillet,$11.99 lb,Seafood,https://bigycdn.blob.core.windows.net/marketing/promoImages/2008098.jpg,20625800000
50,Jimmy Dean Breakfast Sandwiches,$6.99,Frozen,https://bigycdn.blob.core.windows.net/marketing/promoImages/2005384.jpg,7790000111
51,Freschetta Pizza,$5.99,Frozen,https://bigycdn.blob.core.windows.net/marketing/promoImages/2005309.jpg,7218063035
52,Sandwich Bros Melts,$5.99,Frozen,https://bigycdn.blob.core.windows.net/marketing/promoImages/2005372.jpg,7750700010
53,Tyson Breaded Chicken,$6.99,Frozen,https://bigycdn.blob.core.windows.net/marketing/promoImages/2005385.jpg,2370001412
54,Hidden Valley Ranch Salad Dressing & Recipe Mix,4 FOR $5.00,Condiments and Sauces,https://bigycdn.blob.core.windows.net/marketing/promoImages/2008112.jpg,7110000403
55,Food Club Shredded Cheese,$3.49,Dairy,https://bigycdn.blob.core.windows.net/marketing/promoImages/2001487.jpg,3680005144
56,Cottage Roses,$5.99,Floral,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007752.jpg,1889400603
57,Fresh Wild Caught Sea Scallops,$18.99 lb,Seafood,https://bigycdn.blob.core.windows.net/marketing/promoImages/2008100.jpg,20621900000
58,Big Y Stuffed Clams,$4.99,Seafood,https://bigycdn.blob.core.windows.net/marketing/promoImages/2008331.jpg,1889433026
59,Food Club Fruit,$1.99,Frozen,https://bigycdn.blob.core.windows.net/marketing/promoImages/2005323.jpg,3680022490
60,Full Circle Market Organic Lemons,$3.99,Produce,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007277.jpg,3680046575
61,Full Circle Market Almond Non-Dairy Beverage,$3.99,Dairy,https://bigycdn.blob.core.windows.net/marketing/promoImages/2001486.jpg,3680048723
62,Nabisco Chips Ahoy!,$3.99,Snacks and Candy,https://bigycdn.blob.core.windows.net/marketing/promoImages/2005547.jpg,4400003338
63,Select Servings Wings,$8.99,Meat,https://bigycdn.blob.core.windows.net/marketing/promoImages/2008001.jpg,88510561040
64,Organically Grown Red Or Green Seedless Grapes,$3.99 lb,Produce,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007317.jpg,94022
65,Fresh Express Salad Blends,2 FOR $6.00,Produce,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007300.jpg,7127921100
66,Fried Seafood Dinner,20% OFF LIMIT 2,Seafood,https://bigycdn.blob.core.windows.net/marketing/promoImages/2008031.jpg,20619800000
67,Tostitos,$4.99,Snacks and Candy,https://bigycdn.blob.core.windows.net/marketing/promoImages/2002522.jpg,2840003633
68,Mott's Apple Juice,2 FOR $4.00,Beverages (Non-Refrigerated),https://bigycdn.blob.core.windows.net/marketing/promoImages/2004380.jpg,1480000034
69,Gatorade,4 FOR $5.00,Beverages (Non-Refrigerated),https://bigycdn.blob.core.windows.net/marketing/promoImages/2004346.jpg,5200001028
70,Freihofer's Premium Italian Bread,$2.99,Bread and Bakery,https://bigycdn.blob.core.windows.net/marketing/promoImages/2002516.jpg,7133060132
71,Northwest Cherries,$2.99 lb,Produce,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007321.jpg,4045
72,Big Y Angus Beef Top Round Steak,$6.99 lb,Meat,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007913.jpg,20216700000
73,Vital Farms Pasture-Raised Eggs,$5.99,Dairy,https://bigycdn.blob.core.windows.net/marketing/promoImages/2006082.jpg,86174500001
74,Naturesweet Cherubs Tomatoes,2 FOR $6.00,Produce,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007303.jpg,75166677155
75,Bubly Sparkling Water,$3.99,Beverages (Non-Refrigerated),https://bigycdn.blob.core.windows.net/marketing/promoImages/2004358.jpg,1200017143
76,Perdue Chicken Wings,$2.99 lb,Meat,https://bigycdn.blob.core.windows.net/marketing/promoImages/2008042.jpg,20444600000
77,Big Y Split Chicken Breast,$1.99 lb,Meat,https://bigycdn.blob.core.windows.net/marketing/promoImages/2008291.jpg,27058800000
78,Hothouse Beefsteak Tomatoes,$1.99 lb,Produce,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007318.jpg,4799
79,Crav'n Flavor Potato Chips,2 FOR $4.00,Snacks and Candy,https://bigycdn.blob.core.windows.net/marketing/promoImages/2002527.jpg,3680048737
80,Cheez-It Crackers,$4.99,Snacks and Candy,https://bigycdn.blob.core.windows.net/marketing/promoImages/2002517.jpg,2410010434
81,Miracle Whip Dressing,$5.99,Condiments and Sauces,https://bigycdn.blob.core.windows.net/marketing/promoImages/2003333.jpg,2100002649
82,Angie's Boomchickapop,2 FOR $6.00,Snacks and Candy,https://bigycdn.blob.core.windows.net/marketing/promoImages/2002507.jpg,81878001193
83,Chobani Greek Yogurt,5 FOR $5.00,Dairy,https://bigycdn.blob.core.windows.net/marketing/promoImages/2001490.jpg,81829001012
84,Oscar Mayer Fun Pack Lunchables,2 FOR $5.00,Kitchen and Deli,https://bigycdn.blob.core.windows.net/marketing/promoImages/2008072.jpg,4470000674
85,Chex,2 FOR $5.00,Snacks and Candy,https://bigycdn.blob.core.windows.net/marketing/promoImages/2002508.jpg,1600028370
86,Thai Chicken Soup,$5.99,Kitchen and Deli,https://bigycdn.blob.core.windows.net/marketing/promoImages/2003069.jpg,22338300000
87,Wonder Classic White Bread,$2.99,Bread and Bakery,https://bigycdn.blob.core.windows.net/marketing/promoImages/2002513.jpg,7225001137
88,Cafe Spice Gourmet Indian Entree,$7.99,Kitchen and Deli,https://bigycdn.blob.core.windows.net/marketing/promoImages/2002337.jpg,82512000401
89,Locally Grown Butter & Sugar Corn,5 FOR $3.99,Produce,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007305.jpg,4078
90,Zucchini,99Â¢ lb,Produce,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007319.jpg,4067
91,Prime Hydration,3 FOR $5.00,Beverages (Non-Refrigerated),https://bigycdn.blob.core.windows.net/marketing/promoImages/2004396.jpg,81011612155
92,Green Mountain Coffee,$5.99,Beverages (Non-Refrigerated),https://bigycdn.blob.core.windows.net/marketing/promoImages/2004377.jpg,61124735250
93,White Claw Hard Seltzer,$15.99,"Beer, Wine and Spirits",https://bigycdn.blob.core.windows.net/marketing/promoImages/2003154.jpg,63598510033
94,Big Y Pork Chops,$3.99 lb,Meat,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007953.jpg,20114500000
95,Boar's Head Meat Franks,$5.99,Meat,https://bigycdn.blob.core.windows.net/marketing/promoImages/2008004.jpg,4242100006
96,Big Y Fresh Pork Tenderloin,$3.99 lb,Meat,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007955.jpg,20117600000
97,Big Y Pizza Dough,2 FOR $5.00,Kitchen and Deli,https://bigycdn.blob.core.windows.net/marketing/promoImages/2002338.jpg,1889490665
98,8 Piece Fried Chicken,$6.99,Kitchen and Deli,https://bigycdn.blob.core.windows.net/marketing/promoImages/1999147.jpg,22176800000
99,Fresh American Lamb Loin Chops,$12.99 lb,Meat,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007964.jpg,20156700000
100,Snack Pack Pudding,4 FOR $5.00,Snacks and Candy,https://bigycdn.blob.core.windows.net/marketing/promoImages/2005911.jpg,2700000955
101,"Big Y Quick, Easy Meals Freshly Made Salad",$8.99,Kitchen and Deli,https://bigycdn.blob.core.windows.net/marketing/promoImages/2003055.jpg,1889490602
102,Hothouse Cucumbers,4 FOR $5.00,Produce,https://bigycdn.blob.core.windows.net/marketing/promoImages/2007299.jpg,3338367101
103,Siggis Skyr Style Yogurt,4 FOR $5.00,Dairy,https://bigycdn.blob.core.windows.net/marketing/promoImages/2001491.jpg,84029070014
